description,language,rating,director,genre,name
"Shyam, a married teacher, gets romantically involved with his student Sandhya. However, they find themselves in the middle of a love triangle when Kamal, her classmate, tries to woo her.","[ ""Hindi"" ]",6.4,Shlok Sharma,"[ ""Drama"" ]",Haraamkhor
"Champak, a Mumbaikar, decides to rob a bank with the help of two inexperienced men from Delhi. They make a mess of things and the bank robbery goes wrong.","[ ""Hindi"" ]",5.9,Bumpy,"[ ""Thriller"", ""Comedy"" ]",Bank Chor
"Childhood friends Abhimanyu and Bindu face friction when she realises that she doesn't love him after a brief relationship. Years later, Abhimanyu decides to pen a story based on his life.","[ ""Hindi"" ]",5.7,Akshay Roy,"[ ""Drama"", ""Romance"" ]",Meri Pyaari Bindu
Three men land in a confusing mess when their pictures get published in an advertisement for vasectomy. They rebel against the system after their friends and relatives humiliate them.,"[ ""Hindi"" ]",5.6,Shreyas Talpade,"[ ""Comedy"" ]",Poster Boys
"In 1920 during India's freedom movement, one man firmly believes the British are not as bad as everyone believes.","[ ""Hindi"" ]",4.7,Rajiv Dhingra,"[ ""Drama"", ""Action"" ]",Firangi
A 13-year-old belonging to a tribal community becomes the youngest girl to scale Mount Everest.,"[ ""Hindi"" ]",7.9,Rahul Bose,"[ ""Adventure"", ""Biography"" ]",Poorna
Raag Desh is 2017 Indian period drama film directed by Tigmanshu Dhulia and produced by Gurdeep Singh Sappal and Rajya Sabha TV.,"[ ""Hindi"" ]",8.2,Tigmanshu Dhulia,"[ ""Drama"", ""History"" ]",Raag Desh
"Kishen, an inmate in a Lucknow jail, yearns to be set free. When he learns that a few prisoners must form a band, he sees it as his ticket to freedom.","[ ""Hindi"" ]",6.1,Ranjit Tiwari,"[ ""Drama"", ""Crime"" ]",Lucknow Central
Bhoomi is all set to get married but her life changes when Vishal and his cousin rape her. She and her father set out to punish the perpetrators and decide to take the law into their own hands.,"[ ""Hindi"" ]",5.3,Omung Kumar,"[ ""Drama"", ""Crime"" ]",Bhoomi
"Yogi and Jaya, who are polar opposites and meet through a dating app, set out to revisit their past. However, what follows is a journey of self-discovery, one that leaves them astounded.","[ ""Hindi"" ]",7,Tanuja Chandra,"[ ""Romance"", ""Comedy"" ]",Qarib Qarib Singlle
"Anarkali, a dancer who performs on lewd numbers, finds herself wronged by the law when no action is taken against her being molested. She, however, is determined to seek revenge.","[ ""Hindi"" ]",6.5,Avinash Das,"[ ""Drama"" ]",Anaarkali of Aarah
"Nath has his eyes set on his niece Kiran's business but Ashok, Kiran's friend, stands by her and protects her. Things take a turn when Vinod, who likes Kiran, joins forces with Nath to destroy her.","[ ""Hindi"" ]",4.9,Indrajit Singh,"[ ""Thriller"" ]",Irada
"ACP Ravindra Varma, a fearless and sincere police officer, is called to nab terrorist Milind Shinde, who has political backing.","[ ""Hindi"" ]",3.8,Dipankar Senapati,"[ ""Action"" ]",Aa Gaya Hero
Sulu is an ambitious housewife with a loving husband and a happy family. Things start changing for her when she accidentally lands a job as a radio jockey and her show becomes an instant hit.,"[ ""Hindi"" ]",7,Suresh Triveni,"[ ""Drama"", ""Comedy"" ]",Tumhari Sulu
"After losing his job at a popular restaurant, Chef Carl Casper attempts to start afresh by fixing up a food truck. In the process, he ends up becoming closer to his family.","[ ""Hindi"" ]",7.3,Jon Favreau,"[ ""Comedy"", ""Drama"" ]",Chef
Gattu loves Binny but everyone in the neighbourhood forces him to treat her and all the women in the locality as his sisters. He wants to marry her and decides to fight against this prejudice.,"[ ""Hindi"" ]",5.4,Ajay K P.,"[ ""Romance"", ""Drama"" ]",Behen Hogi Teri
A blind old man and a young bank loan recovery agent fight for their survival.,"[ ""Hindi"" ]",8.9,Nila M. Panda,"[ ""Drama"" ]",Dark wind
"Dear Maya is a 2017 Indian drama film directed by Sunaina Bhatnagar in her debut feature. The film stars Manisha Koirala in the title role of a lonely woman residing in the hill town of Shimla, Himachal Pradesh.","[ ""Hindi"" ]",5,Sunaina Bhatnagar,"[ ""Drama"", ""Romance"" ]",Dear Maya
"Adi, a policeman, joins an anti-extortion unit of the Mumbai Police led by Khan. When an ambush goes wrong, Adi chases a wanted gangster, Shiva, and is unsure about killing him in an encounter.","[ ""Hindi"" ]",6.3,Amit Kumar,"[ ""Drama"", ""Crime"" ]",Monsoon Shootout
"Patrick, an investment banker, hires Sheena as a caretaker for Miss Khambatta, an old lady. However, the situation gets worse when Patrick reveals his true identity.","[ ""Hindi"" ]",4.2,Anant Mahadevan,"[ ""Drama"", ""Mystery"" ]",Aksar 2
A haunted mirror allows a brother and sister to see their parents being murdered a decade earlier.,"[ ""Hindi"" ]",4.3,Prawaal Raman,"[ ""Horror"" ]",Dobaara: See Your Evil
"Gandhi, a businessman tries to get Sarkar's approval to force residents out of the slum to construct an establishment. However, after Sarkar declines the proposal, he asks the opposition for help.","[ ""Hindi"" ]",4.3,Ram Gopal Verma,"[ ""Crime"", ""Drama"" ]",Sarkar 3
"In order to impress his senior, Arnab, a news anchor, decides to interview a dreaded gangster named D. During the interview, however, D suffers a heart attack.","[ ""Hindi"" ]",5.7,Visha Mishra,"[ ""Comedy"" ]",Coffee with D
"Raja and Prem, twins separated at birth, join forces as adults to take down a smuggling kingpin, who threatens to destroy their family.","[ ""Hindi"" ]",3.9,David Dhawan,"[ ""Action"", ""Comedy"" ]",Judwaa 2
"Mahinder, a gangster, hires Munna, a street dancer, to train him so that he can impress his lady-love Dolly. But when Dolly goes missing, Munna promises to bring her back.","[ ""Hindi"" ]",3.4,Sabbir Khan,"[ ""Action"", ""Drama"" ]",Munna Michael
"Laxman, a feeble young man, has no family except his brother, Bharat. He is heartbroken after a war breaks out between India and China and Bharat is drafted into the army.","[ ""Hindi"" ]",4.2,Kabir Khan,"[ ""History"", ""Drama"" ]",Tubelight
"Noor is a journalist who works on feature stories but wishes to do serious reporting. Whilst she struggles with the demands of her career and her love life, she unearths an investigative news story.","[ ""Hindi"" ]",3.9,Sunil Sippy,"[ ""Drama"", ""Romance"" ]",Noor
"After Karan and Charan, identical twins, fall in love with Sweety and Nafisa, they seek the help of their paternal uncle, Kartar Singh, to get married.","[ ""Hindi"" ]",5.5,Aneez Bazmi,"[ ""Romance"", ""Comedy"" ]",Mubarakan
"Childhood friends Sonu and Titu's friendship is tested when an innocent Titu decides to marry Sweety, who is not just behind his money but is hell-bent on breaking their friendship too.","[ ""Hindi"" ]",7.2,Luv Ranjan,"[ ""Drama"", ""Romance"" ]",Sonu Ke Titu Ki Sweety
"Laxmikant is upset when he sees Gayatri, his wife, using an unhygienic cloth during her periods and decides to create a machine that could make sanitary pads at affordable prices, creating awareness.","[ ""Hindi"" ]",7.1,R. Balki,"[ ""Drama"", ""Comedy"" ]",Padman
"Nachinarkkniyan, a man disillusioned by the system, forms a team of thieves to rob banks by posing as CBI agents conducting raids.","[ ""Tamil"" ]",7.7,Vignesh Shivan,"[ ""Drama"", ""Crime"" ]",Thaanaa Serndha Koottam
"After Colonel Abhay Singh and his protege Jai Bakshi have a fallout, Jai goes rogue and threatens to bring down the government. So the mentor is forced to go after him.","[ ""Hindi"" ]",5.1,Neeraj Pandey,"[ ""Drama"", ""Crime"" ]",Aiyaary
"Kaalakaandi is a 2018 Indian black comedy film written and directed by Akshat Verma, starring Saif Ali Khan and Sobhita Dhulipala. The film is produced by Rohit Khattar and Ashi Dua. The film was released 12 January 2018.","[ ""Hindi"" ]",6.1,Akshat Verma,"[ ""Drama"", ""Comedy"" ]",Kaalakaandi
"A love story and political intrigue play out on a bus en route to Chennai, which is located on the Bay of Bengal in eastern India.","[ ""Kannada"" ]",5.6,Anup Bhandari,"[ ""Romance"", ""Adventure"" ]",Rajaratha
"Shravan Singh, an aspiring boxer, finds himself at loggerheads with Bhagwan Das Mishra, the head of a boxing federation. Things worsen when he falls in love with Bhagwan's niece.","[ ""Hindi"" ]",8.2,Anurag Kashyap,"[ ""Drama"", ""Sport"" ]",Mukkabaaz
"My Birthday Song is a 2018 Bollywood psychological thriller film produced and directed by Samir Soni. The film stars co-producer Sanjay Suri in the lead role with Nora Fatehi, Zenia Starr and Ayaz Khan in supporting roles","[ ""Hindi"" ]",7.7,Samir Soni,"[ ""Thriller"" ]",My Birthday Song
"Nirdosh is a 2018 Indian suspense thriller film, directed by Pradeep Rangwani and Subroto Paul. It stars Arbaaz khan, Manjari Fadnis, Ashmit Patel, Maheck Chahal and Mukul Dev. The film was released on 19 January 2018.","[ ""Hindi"" ]",4.1,Pradeep Ragwani,"[ ""Drama"", ""Mystery"" ]",Nirdosh
"Jay, a worker, at a chemical plant, struggles to support his family. His life changes when his fellow workers choose him as their union leader and he must battle the management.","[ ""Hindi"" ]",7.9,Sanjay Patel,"[ ""Drama"" ]",Union Leader
"When a woman with Tourette syndrome lands a teaching job in an elite school, she turns her weakness into her biggest strength","[ ""Hindi"" ]",7.6,Siddharth Malhotra,"[ ""Drama"", ""Comedy"" ]",Hichki
"Parmanu: The Story of Pokhran is based on the nuclear bomb test explosions conducted by the Indian Army at Pokhran in 1998, under the leadership of India's future President Dr. APJ Abdul Kalam, during the time of PM Atal Bihari Vajpayee's tenure. John Abraham plays the lead member of the Pokhran Nuclear test team. The film tells the audience about the failures and the hidden facts that no one paid attention to and brings out the unsung heroes of the experiment that put India on the map as global nuclear superpower.","[ ""Hindi"" ]",8.5,Abhishek Sharma,"[ ""Drama"", ""Thriller"" ]",Parmanu: The Story of Pokhran
"When Neha's three-year-old daughter, Rhea, is kidnapped, she calls Ronny, her ex-boyfriend who is now an Indian army soldier. He remembers the promise he made to her and agrees to save Rhea.","[ ""Hindi"" ]",5.1,Ahmed Khan,"[ ""Thriller"", ""Action"" ]",Baaghi 2
"Disillusioned with his monotonous routine, a young man decides to treat himself to a day of adventure.""","[ ""Kannada"" ]",7.4,Anil Kumar,"[ ""Drama"", ""Action"" ]",Rambo
"Queen Padmavati is happily married to a Rajput ruler until a tyrant Sultan, Alauddin Khilji, enters their life and calls a war on their kingdom due to his obsession with the queen.","[ ""Hindi"" ]",7.1,Sanjay Leela Bhansali,"[ ""Drama"", ""Action"" ]",Padmaavat
"Ashwini Dixit, an investigating officer, struggles to unearth the mystery behind a few murders that occurred on the same night and might have underlying connections to a night club.","[ ""Hindi"" ]",6.4,Kushal Shrivastava,"[ ""Drama"", ""Mystery"", ""Crime"" ]",Vodka Diaries
"Individually, Sanjay and Karina don't earn enough to be able to buy a home, so they enter into a marriage of convenience.","[ ""Hindi"" ]",7.2,Anand Tiwari,"[ ""Drama"", ""Romance"" ]",Love Per Square Foot
"Kuchh Bheege Alfaaz is an Indian Hindi language romantic drama film directed by Onir. The film stars Geetanjali Thapa and marks the debut of Zain Khan Durrani. The movie is produced by Yoodlee Films, a venture of Saregama.","[ ""Hindi"" ]",8.7,Onir,"[ ""Drama"", ""Romance"" ]",Kuchh Bheege Alfaaz
"Veerey Ki Wedding is an Indian romantic comedy film that was released on 2 March 2018. It was directed by Ashu Trikha, and stars Pulkit Samrat, Kriti Kharbanda and Jimmy Sheirgill.","[ ""Hindi"" ]",3.1,Ashu T.,"[ ""Drama"", ""Romance"" ]",Veerey Ki Wedding
"VEERE DI WEDDING is a high spirited and upbeat coming of age story revolving around the lives of four childhood friends Kalindi (Kareena Kapoor), Avni (Sonam kapoor), Meera (ShikhaTalsania) & Sakshi (Swara Bhaskar). Ten years later when these four best friends reunite, they don't realize how much life has changed from what they expected. The film is set against the backdrop of Delhi, where the girls are born and brought up, their trials and tribulations in modern day world, regarding family acceptance, marriage & societal perceptions.","[ ""Hindi"" ]",2.8,Shashanka Ghosh,"[ ""Comedy"" ]",Veere Di Wedding
"Dil Juunglee is an Indian romantic comedy film written and directed by Aleya Sen. It stars Taapsee Pannu, Saqib Saleem, Abhilash Thapliyal, Nidhi Singh, Ayesha Kaduskar, Srishti Shrivastava and Santosh Barmola. It was released on 9 March 2018.","[ ""Hindi"" ]",5.5,Aleya Sen,"[ ""Romance"", ""Drama"" ]",Dil Juunglee
"3 Storeys is an 2018 Hindi thriller drama film directed by Arjun Mukerjee starring Richa Chadda, Sharman Joshi, Pulkit Samrat, Masumeh Makhija, Renuka Shahane, Aisha Ahmed, Ankit Rathi ","[ ""Hindi"" ]",7.2,Arjun Mukherjee,"[ ""Drama"" ]",3 Storeys
"After receiving an anonymous tip, Amay Patnaik, a senior income tax officer, starts an investigation on an influential man in Lucknow, India, for money laundering.","[ ""Hindi"" ]",7.6,Raj Kumar Gupta,"[ ""Drama"", ""Crime"" ]",Raid
"Daas Dev is a romantic political thriller directed by Sudhir Mishra, Story and Dialogues written by Zuhaebb & Sudhir mishra and Shubhra chaterjji","[ ""Hindi"" ]",6.4,Sudhir Mishra,"[ ""Drama"" ]",Daas Dev 
An Indian spy marries a Pakistani man during the Indo-Pakistan War of 1971.,"[ ""Hindi"" ]",7.9,Meghna Gulzar,"[ ""Crime"", ""Action"", ""War"" ]",Raazi
A young man's desire to do well sets him on a journey from ordinary citizen to superhero vigilante.,"[ ""Hindi"" ]",7.6,Vikramaditya Motwane,"[ ""Drama"" ]",Bhavesh Joshi Superhero
"October is a 2018 Indian Hindi-language slice of life romantic drama film directed by Shoojit Sircar and produced by Ronnie Lahiri and Sheel Kumar under their Rising Sun Films banner. It stars Varun Dhawan, Banita Sandhu and Gitanjali Rao.""","[ ""Hindi"" ]",7.7,Sudhir S.,"[ ""Drama"", ""Romace"" ]",October
